105
0,1,2,0
1,2,3,0
2,3,4,0
3,4,5,0
4,5,6,0
5,6,7,0
6,7,8,0
7,8,9,0
8,9,10,0
9,10,11,0
10,11,12,0
11,12,13,0
12,13,14,0
13,14,15,0
14,16,17,3
15,17,18,3
16,18,19,3
17,19,20,3
18,20,21,3
19,21,22,3
20,22,23,3
21,23,24,3
22,24,25,3
23,25,26,3
24,26,27,3
25,27,28,3
26,28,29,3
27,29,30,3
28,30,31,3
29,31,13,3
30,32,33,3
31,33,34,3
32,34,35,3
33,35,36,3
34,36,37,3
35,37,38,3
36,38,39,3
37,39,40,3
38,40,41,3
39,41,42,3
40,42,43,3
41,43,44,3
42,44,45,3
43,45,46,3
44,46,47,3
45,47,48,3
46,48,49,3
47,50,51,1
48,51,52,1
49,52,53,1
50,53,54,1
51,54,11,1
52,55,56,1
53,56,57,1
54,57,58,1
55,58,59,1
56,59,60,1
57,60,61,1
58,61,62,1
59,62,63,1
60,63,64,1
61,65,43,2
62,66,67,2
63,67,68,2
64,68,69,2
65,69,70,2
66,70,71,2
67,71,72,2
68,72,73,2
69,73,74,2
70,74,37,2
71,75,76,2
72,77,78,4
73,78,72,4
74,79,80,4
75,80,38,4
76,81,82,4
77,82,58,4
78,83,84,4
79,84,10,4
80,85,86,4
81,3,49,3
82,3,16,3
83,6,64,1
84,6,50,1
85,10,53,4
86,10,84,4
87,53,85,4
88,86,26,4
89,11,55,1
90,11,54,1
91,13,32,3
92,13,31,3
93,43,66,2
94,43,65,2
95,65,62,2
96,72,78,4
97,72,79,4
98,38,80,4
99,38,81,4
100,58,82,4
101,58,83,4
102,37,74,2
103,37,75,2
104,76,57,2
