195
1,2,1778,0
2,3,1313,0
3,4,1172,0
4,5,2457,0
5,6,424,0
6,7,1590,0
7,8,2142,0
8,9,852,0
9,10,774,0
10,11,1230,0
11,12,1377,0
12,13,790,0
13,14,1385,0
14,15,1673,0
16,17,2392,3
17,18,1584,3
18,19,749,3
19,20,954,3
20,21,1717,3
21,22,1143,3
22,23,1547,3
23,24,1688,3
24,25,1254,3
25,26,3643,3
26,27,1677,3
27,28,1058,3
28,29,2901,3
29,30,1021,3
30,31,1006,3
32,33,853,3
33,34,914,3
34,35,1506,3
35,36,1759,3
36,37,1003,3
37,38,1712,3
38,39,982,3
39,40,1020,3
40,41,1100,3
41,42,2303,3
42,43,1101,3
43,44,2033,3
44,45,950,3
45,46,1110,3
46,47,1495,3
47,48,961,3
48,49,1205,3
50,51,929,1
51,52,851,1
52,53,2805,1
53,54,1023,1
55,56,1027,1
56,57,824,1
57,58,2228,1
58,59,794,1
59,60,1237,1
60,61,1766,1
61,62,1899,1
62,63,909,1
63,64,960,1
66,67,4866,2
67,68,2538,2
68,69,3623,2
69,70,1423,2
70,71,2110,2
71,72,4785,2
72,73,2272,2
73,74,6720,2
74,37,3262,2
75,76,1135,2
77,78,939,4
78,72,8100,4
79,80,1838,4
80,38,2147,4
81,82,1059,4
82,58,2017,4
83,84,2640,4
84,10,2645,4
85,86,1183,4
3,49,5190,3
3,16,1016,3
6,64,1832,1
6,50,1234,1
10,53,821,4
10,84,945,4
53,85,876,4
86,26,4475,4
11,55,1763,1
13,32,2720,3
43,66,1829,2
43,65,1206,2
65,62,2839,2
72,78,2509,4
72,79,5591,4
38,80,1122,4
38,81,1025,4
58,83,866,4
37,74,2152,2
37,75,1110,2
76,57,1769,2
2,1,1778,0
3,2,1313,0
4,3,1172,0
5,4,2457,0
6,5,424,0
7,6,1590,0
8,7,2142,0
9,8,852,0
10,9,774,0
11,10,1230,0
12,11,1377,0
13,12,790,0
14,13,1385,0
15,14,1673,0
17,16,2392,3
18,17,1584,3
19,18,749,3
20,19,954,3
21,20,1717,3
22,21,1143,3
23,22,1547,3
24,23,1688,3
25,24,1254,3
26,25,3643,3
27,26,1677,3
28,27,1058,3
29,28,2901,3
30,29,1021,3
31,30,1006,3
13,31,5483,3
33,32,853,3
34,33,914,3
35,34,1506,3
36,35,1759,3
37,36,1003,3
38,37,1712,3
39,38,982,3
40,39,1020,3
41,40,1100,3
42,41,2303,3
43,42,1101,3
44,43,2033,3
45,44,950,3
46,45,1110,3
47,46,1495,3
48,47,961,3
49,48,1205,3
51,50,929,1
52,51,851,1
53,52,2805,1
54,53,1023,1
11,54,2708,1
56,55,1027,1
57,56,824,1
58,57,2228,1
59,58,794,1
60,59,1237,1
61,60,1766,1
62,61,1899,1
63,62,909,1
64,63,960,1
67,66,4866,2
68,67,2538,2
69,68,3623,2
70,69,1423,2
71,70,2110,2
72,71,4785,2
73,72,2272,2
74,73,6720,2
75,37,3262,2
76,75,1135,2
78,77,939,4
80,79,1838,4
81,38,2147,4
82,81,1059,4
58,82,2017,4
84,83,2640,4
10,84,2645,4
86,85,1183,4
49,3,5190,3
16,3,1016,3
64,6,1832,1
50,6,1234,1
53,10,821,4
85,53,876,4
26,86,4475,4
55,11,1763,1
54,11,945,1
32,13,2720,3
31,13,1759,3
66,43,1829,2
65,43,1206,2
62,65,2839,2
79,72,5591,4
83,58,866,4
57,76,1769,2
