date,weather,temperature_high,temperature_low
2018年05月22日,阵雨/小雨,35℃,20℃
2018年05月23日,多云/阴,31℃,18℃
2018年05月24日,多云/晴,35℃,15℃
2018年05月25日,多云/多云,35℃,20℃
2018年05月26日,阵雨/中雨,31℃,18℃
2018年05月27日,小雨/小雨,23℃,19℃
2018年05月28日,阵雨/小雨,28℃,18℃
2018年05月29日,小雨/小雨,25℃,19℃
2018年05月30日,小雨/小雨,24℃,19℃
2018年05月31日,中雨/小雨,28℃,17℃
2018年06月01日,阵雨/小雨,30℃,20℃
2018年06月02日,中雨/小雨,26℃,20℃
2018年06月03日,阵雨/中雨,28℃,20℃
2018年06月04日,小雨/小雨,21℃,16℃
2018年06月05日,阵雨/多云,26℃,19℃
2018年06月06日,晴/晴,36℃,18℃
2018年06月07日,多云/小雨,35℃,21℃
2018年06月08日,小雨/中雨,29℃,20℃
2018年06月09日,小雨/小雨,28℃,18℃
2018年06月10日,小雨/中雨,28℃,19℃
2018年06月11日,小雨/中雨,28℃,19℃
2018年06月12日,中雨/中雨,27℃,22℃
2018年06月13日,小雨/中雨,24℃,19℃
2018年06月14日,小雨/小雨,24℃,20℃
2018年06月15日,小雨/小雨,23℃,17℃
2018年06月16日,小雨/小雨,31℃,20℃
2018年06月17日,多云/小雨,32℃,21℃
2018年06月18日,晴/晴,35℃,24℃
2018年06月19日,阵雨/小雨,34℃,23℃
2018年06月20日,阵雨/小雨,33℃,24℃
2018年06月21日,小雨/小雨,32℃,23℃
2018年06月22日,小雨/中雨,29℃,21℃
2018年06月23日,小雨/小雨,29℃,20℃
2018年06月24日,小雨/中雨,29℃,21℃
2018年06月25日,小雨/小雨,29℃,20℃
2018年06月26日,小雨/小雨,28℃,20℃
2018年06月27日,小雨/小雨,30℃,21℃
2018年06月28日,阵雨/小雨,31℃,21℃
2018年06月29日,小雨/小雨,31℃,22℃
2018年06月30日,小雨/小雨,34℃,24℃
2018年07月01日,小雨/小雨,29℃,21℃
2018年07月02日,阴/阴,32℃,22℃
2018年07月03日,阴/阴,36℃,23℃
2018年07月04日,阴/阴,33℃,23℃
2018年07月05日,小雨/小雨,33℃,22℃
2018年07月06日,小雨/中雨,32℃,24℃
2018年07月07日,小雨/小雨,27℃,20℃
2018年07月08日,小雨/中雨,32℃,21℃
2018年07月09日,小雨/小雨,32℃,25℃
2018年07月10日,小雨/小雨,30℃,22℃
2018年07月11日,小雨/小雨,30℃,20℃
2018年07月12日,阵雨/小雨,32℃,21℃
2018年07月13日,多云/小雨,33℃,22℃
2018年07月14日,小雨/中雨,30℃,21℃
2018年07月15日,阵雨/中雨,27℃,22℃
2018年07月16日,小雨/小雨,30℃,22℃
