date,weather,temperature_high,temperature_low
2018年04月23日,阵雨/小雨,9℃,4℃
2018年04月24日,小雨/小雨,9℃,6℃
2018年04月25日,小雨/小雪,6℃,-1℃
2018年04月26日,阵雨/小雪,11℃,1℃
2018年04月27日,雨夹雪/小雪,10℃,-2℃
2018年04月28日,多云/晴,13℃,-2℃
2018年04月29日,雨夹雪/小雨,16℃,4℃
2018年04月30日,多云/阴,13℃,2℃
2018年05月01日,多云/小雨,14℃,1℃
2018年05月02日,多云/多云,12℃,2℃
2018年05月03日,小雨/小雨,18℃,4℃
2018年05月04日,多云/小雨,19℃,4℃
2018年05月05日,小雨/雨夹雪,13℃,1℃
2018年05月06日,多云/晴,12℃,1℃
2018年05月07日,晴/阵雨,19℃,4℃
2018年05月08日,阵雨/小雨,18℃,6℃
2018年05月09日,阵雨/小雨,17℃,4℃
2018年05月10日,阵雨/小雨,18℃,3℃
2018年05月11日,小雨/雨夹雪,10℃,2℃
2018年05月12日,晴/多云,14℃,0℃
2018年05月13日,多云/多云,21℃,3℃
2018年05月14日,多云/晴,22℃,4℃
2018年05月15日,晴/多云,24℃,6℃
2018年05月16日,小雨/小雨,23℃,8℃
2018年05月17日,多云/小雨,17℃,7℃
2018年05月18日,阵雨/阵雨,21℃,7℃
2018年05月19日,多云/多云,21℃,8℃
2018年05月20日,阵雨/阵雨,23℃,10℃
2018年05月21日,阵雨/小雨,23℃,9℃
2018年05月22日,阵雨/小雨,18℃,8℃
2018年05月23日,阵雨/阵雨,22℃,8℃
2018年05月24日,阵雨/多云,23℃,8℃
2018年05月25日,阵雨/小雨,19℃,4℃
2018年05月26日,小雨/小雨,10℃,3℃
2018年05月27日,大雪/小雨,7℃,5℃
2018年05月28日,小雨/小雨,7℃,3℃
2018年05月29日,小雨/小雨,10℃,3℃
2018年05月30日,多云/小雨,15℃,4℃
2018年05月31日,阵雨/小雨,16℃,6℃
2018年06月01日,多云/阴,22℃,7℃
2018年06月02日,小雨/小雨,18℃,6℃
2018年06月03日,小雨/小雨,13℃,5℃
2018年06月04日,多云/晴,15℃,2℃
2018年06月05日,晴/多云,24℃,2℃
2018年06月06日,多云/小雨,24℃,5℃
2018年06月07日,小雨/小雨,14℃,1℃
2018年06月08日,晴/多云,14℃,1℃
2018年06月09日,小雨/多云,13℃,1℃
2018年06月10日,多云/小雨,19℃,3℃
2018年06月11日,小雨/多云,18℃,6℃
2018年06月12日,小雨/小雨,18℃,9℃
2018年06月13日,小雨/小雨,12℃,5℃
2018年06月14日,小雨/小雨,15℃,8℃
2018年06月15日,小雨/小雨,14℃,8℃
2018年06月16日,小雨/小雨,20℃,9℃
2018年06月17日,小雨/小雨,18℃,10℃
2018年06月18日,阵雨/阴,18℃,10℃
2018年06月19日,小雨/小雨,19℃,8℃
2018年06月20日,阵雨/小雨,22℃,11℃
2018年06月21日,阵雨/阴,18℃,10℃
2018年06月22日,阵雨/小雨,19℃,11℃
2018年06月23日,小雨/小雨,19℃,12℃
2018年06月24日,小雨/小雨,18℃,11℃
2018年06月25日,阵雨/小雨,20℃,12℃
2018年06月26日,小雨/小雨,17℃,11℃
2018年06月27日,小雨/小雨,20℃,11℃
2018年06月28日,阵雨/阴,20℃,12℃
2018年06月29日,阵雨/小雨,23℃,12℃
2018年06月30日,多云/小雨,23℃,13℃
2018年07月01日,多云/小雨,25℃,12℃
2018年07月02日,小雨/小雨,18℃,9℃
2018年07月03日,小雨/小雨,21℃,10℃
2018年07月04日,小雨/阴,18℃,12℃
2018年07月05日,小雨/小雨,21℃,11℃
2018年07月06日,小雨/小雨,22℃,13℃
2018年07月07日,小雨/小雨,20℃,12℃
2018年07月08日,小雨/小雨,19℃,11℃
2018年07月09日,小雨/小雨,20℃,13℃
2018年07月10日,小雨/小雨,19℃,10℃
2018年07月11日,阵雨/小雨,17℃,9℃
2018年07月12日,小雨/小雨,21℃,9℃
2018年07月13日,多云/多云,22℃,8℃
2018年07月14日,多云/多云,27℃,9℃
2018年07月15日,中雨/阵雨,20℃,10℃
2018年07月16日,多云/晴,24℃,7℃
2018年07月17日,晴/多云,28℃,8℃
2018年07月18日,多云/小雨,25℃,10℃
2018年07月19日,小雨/小雨,21℃,11℃
2018年07月20日,小雨/小雨,21℃,11℃
2018年07月21日,阵雨/多云,20℃,10℃
2018年07月22日,晴/晴,21℃,11℃
2018年07月23日,小雨/阴,17℃,10℃
2018年07月24日,多云/多云,21℃,7℃
2018年07月25日,阵雨/晴,23℃,8℃
2018年07月26日,多云/多云,26℃,9℃
